ID,Employees,Admins,Assets,Disclose,Ransomware
251,10000.0,1.0,1000.0,1.0,1.0
252,1.0,10.0,1000.0,1.0,1.0
253,10.0,10.0,1000.0,1.0,1.0
254,50.0,10.0,1000.0,1.0,1.0
255,100.0,10.0,1000.0,1.0,1.0
256,1000.0,10.0,1000.0,1.0,1.0
257,5000.0,10.0,1000.0,1.0,1.0
258,10000.0,10.0,1000.0,1.0,1.0
259,1.0,50.0,1000.0,1.0,1.0
260,10.0,50.0,1000.0,1.0,1.0
261,50.0,50.0,1000.0,1.0,1.0
262,100.0,50.0,1000.0,1.0,1.0
263,1000.0,50.0,1000.0,1.0,1.0
264,5000.0,50.0,1000.0,1.0,1.0
265,10000.0,50.0,1000.0,1.0,1.0
266,1.0,100.0,1000.0,1.0,1.0
267,10.0,100.0,1000.0,1.0,1.0
268,50.0,100.0,1000.0,1.0,1.0
269,100.0,100.0,1000.0,1.0,1.0
270,1000.0,100.0,1000.0,1.0,1.0
271,5000.0,100.0,1000.0,1.0,1.0
272,10000.0,100.0,1000.0,1.0,1.0
273,1.0,1000.0,1000.0,1.0,1.0
274,10.0,1000.0,1000.0,1.0,1.0
275,50.0,1000.0,1000.0,1.0,1.0
276,100.0,1000.0,1000.0,1.0,1.0
277,1000.0,1000.0,1000.0,1.0,1.0
278,5000.0,1000.0,1000.0,1.0,1.0
279,10000.0,1000.0,1000.0,1.0,1.0
280,1.0,5000.0,1000.0,1.0,1.0
281,10.0,5000.0,1000.0,1.0,1.0
282,50.0,5000.0,1000.0,1.0,1.0
283,100.0,5000.0,1000.0,1.0,1.0
284,1000.0,5000.0,1000.0,1.0,1.0
285,5000.0,5000.0,1000.0,1.0,1.0
286,10000.0,5000.0,1000.0,1.0,1.0
287,1.0,10000.0,1000.0,1.0,1.0
288,10.0,10000.0,1000.0,1.0,1.0
289,50.0,10000.0,1000.0,1.0,1.0
290,100.0,10000.0,1000.0,1.0,1.0
291,1000.0,10000.0,1000.0,1.0,1.0
292,5000.0,10000.0,1000.0,1.0,1.0
293,10000.0,10000.0,1000.0,1.0,1.0
294,1.0,1.0,10000.0,1.0,1.0
295,10.0,1.0,10000.0,1.0,1.0
296,50.0,1.0,10000.0,1.0,1.0
297,100.0,1.0,10000.0,1.0,1.0
298,1000.0,1.0,10000.0,1.0,1.0
299,5000.0,1.0,10000.0,1.0,1.0
300,10000.0,1.0,10000.0,1.0,1.0
301,1.0,10.0,10000.0,1.0,1.0
302,10.0,10.0,10000.0,1.0,1.0
303,50.0,10.0,10000.0,1.0,1.0
304,100.0,10.0,10000.0,1.0,1.0
305,1000.0,10.0,10000.0,1.0,1.0
306,5000.0,10.0,10000.0,1.0,1.0
307,10000.0,10.0,10000.0,1.0,1.0
308,1.0,50.0,10000.0,1.0,1.0
309,10.0,50.0,10000.0,1.0,1.0
310,50.0,50.0,10000.0,1.0,1.0
311,100.0,50.0,10000.0,1.0,1.0
312,1000.0,50.0,10000.0,1.0,1.0
313,5000.0,50.0,10000.0,1.0,1.0
314,10000.0,50.0,10000.0,1.0,1.0
315,1.0,100.0,10000.0,1.0,1.0
316,10.0,100.0,10000.0,1.0,1.0
317,50.0,100.0,10000.0,1.0,1.0
318,100.0,100.0,10000.0,1.0,1.0
319,1000.0,100.0,10000.0,1.0,1.0
320,5000.0,100.0,10000.0,1.0,1.0
321,10000.0,100.0,10000.0,1.0,1.0
322,1.0,1000.0,10000.0,1.0,1.0
323,10.0,1000.0,10000.0,1.0,1.0
324,50.0,1000.0,10000.0,1.0,1.0
325,100.0,1000.0,10000.0,1.0,1.0
326,1000.0,1000.0,10000.0,1.0,1.0
